NAME,ADDRESS,ZIP CODE,UNITS WITH INCOME/RENT LIMITS,HUD,SHA,STATE OF WA or COUNTY,WSHFC,CITY OF SEATTLE,YEAR PLACED IN SERVICE,COUNCIL DISTRICT
Roxhill Court Apartments,9426 27TH AVE SW,98126,4, ,X, , , ,2003,1
Roxhill Court Apartments,9432 27TH AVE SW,98126,4, ,X, , , ,2003,1
Rubix,515 HARVARD AVE E,98102,15, , , , ,X,2015,3
Ruth Court,123 18TH AVE E,98122,14, , , , ,X,2016,3
Samaki Commons,3908 S KENYON ST,98118,40, , , ,X,X,2009,2
Sand Point Family Housing,6831 62ND AVE NE,98115,27, , , ,X,X,1999,4
Sand Point Youth Housing,6524 62ND AVE NE,98115,24,,,X,,X,1999,4
Santa Teresita del nino Jesus,2427 SW HOLDEN ST,98106,25, , , ,X,X,2009,1
Santos Place,6940 62ND AVE NE,98115,50, , , ,X,X,2000,4
Savoy @ Lake City - Senior Apts,13730 LAKE CITY WAY NE,98125,16,,,,,X,2017,5
Scargo,2209 1ST AVE,98121,47, , , , ,X,1987,7
Scattered Sites - 050,1133 19TH AVE,98122,4, ,X, , , ,1984,3
Scattered Sites - 050,5803 5TH AVE NW,98107,4, ,X, , , ,1984,6
Scattered Sites - 051,10516 MIDVALE AVE N,98133,7, ,X, , , ,1984,5
Scattered Sites - 051,10531 MIDVALE AVE N,98133,5, ,X, , , ,1996,5
Scattered Sites - 051,10557 STONE AVE N,98133,6, ,X, , , ,1983,5
Scattered Sites - 051,1118 18TH AVE,98122,5, ,X, , , ,1984,3
Scattered Sites - 051,1120 15TH AVE,98122,8, ,X, , , ,1981,3
Scattered Sites - 051,11208 MERIDIAN AVE N,98133,6, ,X, , , ,1983,5
Scattered Sites - 051,11727 GREENWOOD AVE N,98133,9, ,X, , , ,1981,5
Scattered Sites - 051,12532 GREENWOOD AVE N,98133,6, ,X, , , ,1981,5
Scattered Sites - 051,126 22ND AVE E,98112,6, ,X, , , ,1996,3
Scattered Sites - 051,13756 MIDVALE AVE N,98133,7, ,X, , , ,1984,5
Scattered Sites - 051,14036 GREENWOOD AVE N,98133,4, ,X, , , ,1981,5
Scattered Sites - 051,14040 GREENWOOD AVE N,98133,4, ,X, , , ,1981,5
Scattered Sites - 051,14315 LENORA PL N,98133,8, ,X, , , ,1984,5
Scattered Sites - 051,1803 13TH AVE,98122,10, ,X, , , ,1984,3
Scattered Sites - 051,1821 E MERCER ST,98112,10, ,X, , , ,1981,3
Scattered Sites - 051,2228 N 106TH ST,98133,5, ,X, , , ,1985,5
Scattered Sites - 051,2307 E FIR ST,98122,10, ,X, , , ,1984,3
Scattered Sites - 051,2400 E UNION ST,98122,10, ,X, , , ,1984,3
Scattered Sites - 051,2401 W LYNN ST,98199,7, ,X, , , ,1981,7
Scattered Sites - 051,2417 NW 62ND ST,98107,6, ,X, , , ,1984,6
Scattered Sites - 051,2505 E YESLER WAY,98122,7, ,X, , , ,1984,3
Scattered Sites - 051,2805 E CHERRY ST,98122,12, ,X, , , ,1984,3
Scattered Sites - 051,301 22ND AVE,98122,8, ,X, , , ,1984,3
Scattered Sites - 051,317 26TH AVE S,98144,6, ,X, , , ,1984,3
Scattered Sites - 051,324 15TH AVE,98122,6, ,X, , , ,1984,3
Scattered Sites - 051,325 MARTIN LUTHER KING JR WAY S,98144,5, ,X, , , ,1984,3
Scattered Sites - 051,334 NW 41ST ST,98107,5, ,X, , , ,1984,6
Scattered Sites - 051,3625 ALBION PL N,98103,5, ,X, , , ,1984,4
Scattered Sites - 051,3630 GREENWOOD AVE N,98103,6, ,X, , , ,1985,6
Scattered Sites - 051,3840 EVANSTON AVE N,98103,4, ,X, , , ,1983,6
Scattered Sites - 051,4038 LINDEN AVE N,98103,4, ,X, , , ,1981,6
Scattered Sites - 051,4205 WHITMAN AVE N,98103,5, ,X, , , ,1981,4
Scattered Sites - 051,711 N MOTOR PL,98103,4, ,X, , , ,1984,6
Scattered Sites - 051,748 N 95TH ST,98103,10, ,X, , , ,1984,5
Scattered Sites - 051,8802 MIDVALE AVE N,98103,7, ,X, , , ,1983,5
Scattered Sites - 051,902 N 128TH ST,98133,11, ,X, , , ,1985,5
Scattered Sites - 051,927 N 100TH ST,98103,9, ,X, , , ,1985,5
Scattered Sites - 054,12025 33RD AVE NE,98125,4, ,X, , , ,1984,5
Scattered Sites - 054,2809 NE 115TH ST,98125,4, ,X, , , ,1989,5
Scattered Sites - 054,8720 MARY AVE NW,98117,4, ,X, , , ,1984,6
Scattered Sites - 055,11308 3RD AVE NE,98125,8, ,X, , , ,1981,5
Scattered Sites - 055,11736 PINEHURST WAY NE,98125,16, ,X, , , ,1982,5
Scattered Sites - 055,12039 15TH AVE NE,98125,5, ,X, , , ,1981,5
Scattered Sites - 055,14003 32ND AVE NE,98125,7, ,X, , , ,1983,5
Scattered Sites - 055,14349 32ND AVE NE,98125,12, ,X, , , ,1982,5
Scattered Sites - 055,14355 32ND AVE NE,98125,12, ,X, , , ,1982,5
Scattered Sites - 055,1921 NE 145TH ST,98125,5, ,X, , , ,1981,5
Scattered Sites - 055,1931 NE 145TH ST,98125,6, ,X, , , ,1981,5
Scattered Sites - 055,1941 NE 145TH ST,98125,4, ,X, , , ,1981,5
Scattered Sites - 055,2411 NW 75TH ST,98117,8, ,X, , , ,1984,6
Scattered Sites - 055,2940 NW 85TH ST,98117,5, ,X, , , ,1984,6
Scattered Sites - 055,3052 NE 137TH ST,98125,11, ,X, , , ,1981,5
Scattered Sites - 055,3614 NE 73RD PL,98115,5, ,X, , , ,1980,4
Scattered Sites - 055,3620 NE 73RD PL,98115,5, ,X, , , ,1980,4
Scattered Sites - 055,9818 5TH AVE NE,98115,19, ,X, , , ,1982,5
Scattered Sites - 056,2311 42ND AVE SW,98116,4, ,X, , , ,1982,1
Scattered Sites - 056,2644 22ND AVE W,98199,4, ,X, , , ,1984,7
Scattered Sites - 056,3041 60TH AVE SW,98116,4, ,X, , , ,1981,1
Scattered Sites - 056,4308 SW BEVERIDGE PL,98136,4, ,X, , , ,1985,1
Scattered Sites - 056,4825 DELRIDGE WAY SW,98106,4, ,X, , , ,1989,1
Scattered Sites - 056,5043 DELRIDGE WAY SW,98106,4, ,X, , , ,2008,1
Scattered Sites - 057,151 ETRURIA ST,98109,9, ,X, , , ,1983,7
Scattered Sites - 057,250 SW ROXBURY ST,98106,9, ,X, , , ,2003,1
Scattered Sites - 057,2620 23RD AVE W,98199,5, ,X, , , ,1984,7
Scattered Sites - 057,2851 SW DAKOTA ST,98126,6, ,X, , , ,1985,1
Scattered Sites - 057,3819 13TH AVE W,98119,9, ,X, , , ,1984,7
Scattered Sites - 057,4240 34TH AVE W,98199,8, ,X, , , ,1980,7
Scattered Sites - 057,5906 16TH AVE S,98108,4, ,X, , , ,2008,2
Scattered Sites - 057,6322 42ND AVE SW,98136,9, ,X, , , ,1985,1
Scattered Sites - 057,7100 CALIFORNIA AVE SW,98136,12, ,X, , , ,1983,1
Schwabacher House,1715 NW 59TH ST,98107,44, ,X, , , ,1984,6
Seattle Silvercrest Apartments,9543 GREENWOOD AVE N,98103,50,X, , , , ,1994,6
Second & Pine,211 PINE ST,98101,9, , , ,X, ,1992,7
Security House,2225 4TH AVE,98121,106,X, , ,X,X,2001,7
Seneca Apartments,1214 BOYLSTON AVE,98101,32, , , ,X, ,1998,3
Session Apartments,2051 E MADISON ST,98122,19, , , , ,X,2016,3
Shirley Bridge Bungalows,4027 59TH AVE SW,98116,6,X, , , , ,2002,1
Silvian Apartments,914 E HARRISON ST,98102,32,X, , ,X,X,2006,3
Simons Senior Apartments,2119 3RD AVE,98121,92, , , ,X,X,2008,7
Slate Apartments,3040 17TH AVE W,98119,48, , , , ,X,2013,7
Smith & Burns,1321 N 45TH ST,98103,30, , , , ,X,2015,4
Solana aPodments,310 17TH AVE S,98144,7, , , , ,X,2011,3
Soleil (aka Emeral 10),315 10TH AVE,98122,8, , , , ,X,2012,3
Sonen House,158 N 137TH ST,98133,5, , , , ,X,1990,5
Sortun Court Townhouses,4550 16TH AVE NE,98105,16, , , , ,X,1999,4
South Park Manor,520 S CLOVERDALE ST,98108,27, ,X, , , ,1984,1
South Shore Court,4811 S HENDERSON ST,98118,20, ,X, ,X,X,2010,2
South Shore Court,4814 S DIRECTOR ST,98118,24, ,X, ,X,X,2010,2
Spring Street,1303 E SPRING ST,98122,18, , ,X, , ,2002,3
Springline,3220 CALIFORNIA AVE SW,98116,30, , , , ,X,2016,1
Spruce,3922 SW ALASKA ST,98116,44, , , , ,X,2015,1
Spruce Park Apartments,155 21ST AVE,98122,44, , , , ,X,2000,3
Square One,1012 NE 63RD ST,98115,22, , , , ,X,2014,4
Squire Park Plaza,1700 S JACKSON ST,98144,12, , , , ,X,2008,3
St Martins on Westlake,2008 WESTLAKE AVE,98121,53, , , , ,X,1993,7
St. Charles Apartments,619 3RD AVE,98104,62, , , ,X,X,2004,7
Stack House,420 PONTIUS AVE N,98109,56, , , , ,X,2013,7
Starliter Apartments,8708 RAINIER AVE S,98118,29, , , , ,X,2001,2
Station at Othello Park,4219 S OTHELLO ST,98118,71, , , , ,X,2011,2
Stencil,2407 E UNION ST,98122,8, , , , ,X,2016,3
Stephenson House,1116 N 84TH ST,98103,5, , , , ,X,1993,6
Stewart Court Apartments,1835 8TH AVE,98101,64, , , ,X,X,2002,7
STEWART HOUSE,80 STEWART ST,98101,48,X, , , , ,1982,7
Stewart Manor,6339 34TH AVE SW,98126,74, ,X, ,X, ,1969,1
Stone Way Apartments,1215 N 45TH ST,98103,69, , , ,X,X,2007,4
Strada aPodments,4516 7TH AVE NE,98105,10, , , , ,X,2014,4
Straley House,5602 15TH AVE NE,98105,12, , , , ,X,1990,4
Stream 403,403 BELMONT AVE E,98102,10,,,,,X,2017,3
Stream Belmont,500 BELMONT AVE E,98102,14, , , , ,X,2014,3
Stream Fifteen,605 15TH AVE E,98112,7, , , , ,X,2015,3
Studio 7,4029 7TH AVE NE,98105,15, , , , ,X,2015,4
Sunrise Manor,1530 NW 57TH ST,98107,32, ,X, , , ,1985,6
Sylvia Odom's Place,2017 3RD AVE,98121,63, , , ,X,X,2016,7
Tamarack Place,4616 MARTIN LUTHER KING JR WAY S,98108,83, ,X, ,X, ,2010,2
Tashiro-Kaplan Artist Housing,115 PREFONTAINE PL S,98104,49,X, , ,X,X,2004,7
Tate Mason,1100 MINOR AVE,98101,95, , , ,X, ,1998,3
Telemark Apartments,2850 NW 56TH ST,98107,24, ,X, , , ,1999,6
Terrazza aPodments,413 11TH AVE,98122,12, , , , ,X,2012,3
TEXADA APARTMENTS,1128 13TH AVE,98122,25,X, , , , ,1972,3
Thornton Place,308 NE THORNTON PL,98125,56, , , , ,X,2009,5
Tolson House,5029 12TH AVE NE,98105,6, , , , ,X,1995,4
Traugott Terrace,2317 3RD AVE,98121,50, , , ,X,X,2003,7
Tressa Apartments,14200 LINDEN AVE N,98133,466, , , ,X, ,2009,5
Tri-Court,718 N 143RD ST,98133,29, ,X, , , ,1971,5
Tri-Court,722 N 143RD ST,98133,29, ,X, , , ,1971,5
Tri-Court,724 N 143RD ST,98133,29, ,X, , , ,1971,5
Trovere aPodments,4309 7TH AVE NE,98105,10, , , , ,X,2011,4
Tyree Scott Apartments,4000 MARTIN LUTHER KING JR WAY S,98108,21, , , ,X,X,2003,2
Union Hotel,204 3RD AVE S,98104,50, , , ,X, ,1994,7
Union James,981 20TH AVE,98122,24,X, , , ,X,2005,3
University House,4700 12TH AVE NE,98105,101, ,X, ,X, ,1972,4
University Village Youth & Young Adult,5401 26TH AVE NE,98105,25, , , , ,X,1998,4
University West,4544 7TH AVE NE,98105,113, ,X, ,X, ,1971,4
Valor Apartments,12513 33RD AVE NE,98125,21,X, , , ,X,2015,5
Velo Apts,3653 WOODLAND PARK AVE N,98103,36, , , , ,X,2014,4
Venetia,4324 8TH AVE NE,98105,10, , , , ,X,2013,4
Vermont Inn,2721 4TH AVE,98121,110, , , ,X, ,1993,7
Vibe Fremont,3601 GREENWOOD AVE N,98103,13, , , , ,X,2015,6
Victoria Park Apartments,13716 LAKE CITY WAY NE,98125,31, , , ,X, ,2011,5
Victorian Row Apartments,1234 S KING ST,98144,12, , , ,X,X,1991,3
Views at Madison 1,1615 19TH AVE,98122,45, , , ,X,X,2002,3
Views at Madison 2,1823 E MADISON ST,98122,50, , , ,X,X,2002,3
Villa Apartments,1106 PIKE ST,98101,62, , , ,X,X,1999,7
Villa Park,9101 50TH AVE S,98118,6, ,X, , ,X,1995,2
Villa Park,9105 50TH AVE S,98118,6, ,X, , ,X,1995,2
Villa Park,9109 50TH AVE S,98118,6, ,X, , ,X,1995,2
Villa Park,9113 50TH AVE S,98118,7, ,X, , ,X,1995,2
Villa Park,9117 50TH AVE S,98118,6, ,X, , ,X,1995,2
Villa Park,9119 50TH AVE S,98118,9, ,X, , ,X,1995,2
Vine Court,103 VINE ST,98121,54, , , , ,X,1988,7
Viridian,6917 CALIFORNIA AVE SW,98136,6, , , , ,X,2015,1
Vivian McLean Place,5423 DELRIDGE WAY SW,98106,19, , , ,X,X,2002,1
Wallingford Studios,4516 MERIDIAN AVE N,98103,8, , , , ,X,2013,4
Wally Apts,4111 STONE WAY N,98103,6, , , , ,X,2013,4
Walton Lofts,2521 WESTERN AVE,98121,28, , , , ,X,2015,7
Washington Terrace,609 YESLER WAY,98104,134, , , ,X, ,2006,2
Waterton Apartments,2203 EASTLAKE AVE E,98102,9,,,,,X,2017,4
Wedgewood Estates,3705 NE 77TH ST,98115,4, ,X, , , ,2001,4
Wedgewood Estates,3706 NE 75TH ST,98115,4, ,X, , , ,2001,4
Wedgewood Estates,3715 NE 77TH ST,98115,4, ,X, , , ,2001,4
Wedgewood Estates,3716 NE 75TH ST,98115,39, ,X, , , ,2001,4
Wedgewood Estates,3719 NE 77TH ST,98115,4, ,X, , , ,2001,4
Wedgewood Estates,3723 NE 77TH ST,98115,4, ,X, , , ,2001,4
Wedgewood Estates,3801 NE 77TH ST,98115,30, ,X, , , ,2001,4
Wedgewood Estates,3810 NE 75TH ST,98115,4, ,X, , , ,2001,4
Wedgewood Estates,3811 NE 77TH ST,98115,4, ,X, , , ,2001,4
Wedgewood Estates,3814 NE 75TH ST,98115,4, ,X, , , ,2001,4
Wedgewood Estates,3818 NE 75TH ST,98115,4, ,X, , , ,2001,4
Wedgewood Estates,3826 NE 75TH ST,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7506 37TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7509 39TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7512 37TH AVE SW,98126,4, ,X, , , ,2001,1
Wedgewood Estates,7513 39TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7517 39TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7520 37TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7525 39TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7526 37TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7529 39TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7530 37TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7535 39TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7540 37TH AVE NE,98115,32, ,X, , , ,2001,4
Wedgewood Estates,7543 39TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7544 37TH AVE NE,98115,4, ,X, , , ,2001,4
Wedgewood Estates,7549 39TH AVE NE,98115,4, ,X, , , ,2001,4
WELLER APARTMENTS,1632 S WELLER ST,98144,50,X, , , , ,1968,3
West Town View,1407 2ND AVE W,98119,59, ,X, ,X, ,1978,7
Westlake Steps,1209 WESTLAKE AVE N,98109,77,,,,,X,2017,7
Westwood Heights,9455 27TH AVE SW,98126,130, ,X, , , ,1971,1
Westwood Heights East,9440 27TH AVE SW,98126,22, ,X, , , ,2002,1
Westwood Heights East 9442,9442 27TH AVE SW,98126,20, ,X, , , ,2002,1
Whittaker (Phase I),4755 FAUNTLEROY WAY SW,98116,26, , , , ,X,2016,1
Whittaker (Phase II),4755 FAUNTLEROY WAY SW,98116,52,,,,,X,2017,1
Wildwood Glen,4502 SW WILDWOOD PL,98136,24, ,X, , , ,1979,1
William Booth Center,811 MAYNARD AVE S,98134,50, , , , ,X,1995,2
Williams Apartments,219 PONTIUS AVE N,98109,81, , , ,X,X,2013,7
Willis House,6341 5TH AVE NE,98115,41, ,X, , ,X,2010,6
Willow Street Apartments,3803 SW WILLOW ST,98126,12, ,X, , , ,2005,1
Windermere House,301 23RD AVE,98122,4, , , , ,X,1989,3
Windham Apartments,420 BLANCHARD ST,98121,58, , , ,X, ,2007,7
Wintonia Hotel,1431 MINOR AVE,98101,92, , , ,X,X,1994,7
Wisteria Court,7501 24TH AVE NW,98117,8, ,X, , , ,2003,6
Wisteria Court,7509 24TH AVE NW,98117,8, ,X, , , ,2003,6
Wisteria Court,7515 24TH AVE NW,98117,8, ,X, , , ,2003,6
Wisteria Court,7523 24TH AVE NW,98117,8, ,X, , , ,2003,6
Wisteria Court,7529 24TH AVE SW,98106,8, ,X, , , ,2003,1
Wisteria Court,7535 24TH AVE SW,98106,8, ,X, , , ,2003,1
Wisteria Court,7541 24TH AVE SW,98106,8, ,X, , , ,2003,1
Wisteria Court,7544 24TH AVE NW,98117,8, ,X, , , ,2003,6
Wisteria Court,7549 24TH AVE SW,98106,8, ,X, , , ,2003,1
Wisteria Court,7552 24TH AVE SW,98106,8, ,X, , , ,2003,1
Wisteria Court,7555 24TH AVE SW,98106,8, ,X, , , ,2003,1
Wisteria Court,7560 24TH AVE SW,98106,8, ,X, , , ,2003,1
Wisteria View,1400 S MAIN ST,98144,85,X, , , , ,1981,3
Wright House,5025 12TH AVE NE,98105,4, , , , ,X,1992,4
Yardhouse,1406 E REPUBLICAN ST,98112,7, , , , ,X,2015,3
Yesler Court,114 23RD AVE,98122,9, ,X, , , ,2004,3
Yesler Terrace,1009 ALDER ST,98104,9, ,X, , , ,1942,3
Yesler Terrace,115 8TH AVE,98104,4, ,X, , , ,1942,3
Yesler Terrace,125 8TH AVE,98104,9, ,X, , , ,1942,3
Yesler Terrace,210 TERRY AVE,98104,16, ,X, , , ,1942,3
Yesler Terrace,211 9TH AVE,98104,1, ,X, , , ,1942,3
Yesler Terrace,215 9TH AVE,98104,1, ,X, , , ,1942,3
Yesler Terrace,217 9TH AVE,98104,1, ,X, , , ,1942,3
Yesler Terrace,713 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,715 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,717 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,719 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,721 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,723 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,725 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,727 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,729 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,731 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,735 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,737 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,739 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,741 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,743 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,745 ALDER ST,98104,1, ,X, , , ,1942,3
Yesler Terrace,751 ALDER ST,98104,2, ,X, , , ,1942,3
Yesler Terrace,755 ALDER ST,98104,2, ,X, , , ,1942,3
Yesler Terrace,911 ALDER ST,98104,20, ,X, , , ,1942,3
YK Building,110 14TH AVE,98122,34, , , , ,X,1987,3
YMCA Building Project,909 4TH AVE,98104,20, , , ,X, ,2000,7
Youngstown Flats,4040 26TH AVE SW,98106,38, , , , ,X,2013,1
YWCA Opportunity Place,2024 3RD AVE,98121,130, , , ,X,X,2004,7
Zig Apartments,550 BROADWAY,98122,34,,,,,X,2017,3
